x=3,90, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,6670, Tabular f'(x)=-0,8979
x=3,95, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7119, Tabular f'(x)=-0,8979
x=4,00, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7568, Tabular f'(x)=-0,2021
x=4,05, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7669, Tabular f'(x)=-0,2021
x=4,10, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7770, Tabular f'(x)=-0,2021
x=4,15, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7871, Tabular f'(x)=-0,2021
x=4,20, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,7972, Tabular f'(x)=-0,2021
x=4,25, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8073, Tabular f'(x)=-0,2021
x=4,30, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8174, Tabular f'(x)=-0,2021
x=4,35, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8275, Tabular f'(x)=-0,2021
x=4,40, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8376, Tabular f'(x)=-0,2021
x=4,45, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8477, Tabular f'(x)=-0,2021
x=4,50, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8578, Tabular f'(x)=-0,2021
x=4,55, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8680, Tabular f'(x)=-0,2021
x=4,60, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8781, Tabular f'(x)=-0,2021
x=4,65, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8882, Tabular f'(x)=-0,2021
x=4,70, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,8983, Tabular f'(x)=-0,2021
x=4,75, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9084, Tabular f'(x)=-0,2021
x=4,80, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9185, Tabular f'(x)=-0,2021
x=4,85, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9286, Tabular f'(x)=-0,2021
x=4,90, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9387, Tabular f'(x)=-0,2021
x=4,95, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9488, Tabular f'(x)=-0,2021
x=5,00, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=-0,9589, Tabular f'(x)=NaN
x=5,05, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,10, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,15, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,20, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,25, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,30, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,35, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,40, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,45, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,50, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,55, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,60, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,65, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,70, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,75, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,80, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,85, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,90, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=5,95, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,00, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,05, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,10, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,15, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,20, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,25, Analytical f(x)=-0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,30, Analytical f(x)=0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,35, Analytical f(x)=0,0000, Analytical f'(x)=0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,40, Analytical f(x)=0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,45, Analytical f(x)=0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
x=6,50, Analytical f(x)=0,0000, Analytical f'(x)=-0,0000, Tabular f(x)=NaN, Tabular f'(x)=NaN
